Impedance,Resistance,Reactance,HT
184.38,6.64,1.11E-08,0
183.46,4.22,7.07E-09,0
183.08,1.06,1.77E-09,0
184.17,-10.73,1.56E-10,0
182.51,-11.04,1.51E-10,0
181.98,-6.82,2.44E-10,0
181.04,-6.99,2.38E-10,0
179.39,-12.16,1.36E-10,0
178.11,-14.48,1.14E-10,0
179.43,-10.79,1.53E-10,0
179.79,-11.18,1.48E-10,0
180.30,-13.70,1.20E-10,0
183.02,-22.45,7.33E-11,0
181.94,-16.96,9.69E-11,0
183.72,-15.46,1.06E-10,0
184.89,-15.43,1.06E-10,0
189.40,-31.70,5.16E-11,0
190.23,-30.67,5.33E-11,0
191.69,-20.24,8.06E-11,0
194.14,-23.49,6.93E-11,0
196.86,-29.22,5.56E-11,0
199.47,-33.84,4.80E-11,0
203.11,-29.98,5.41E-11,0
205.76,-33.95,4.77E-11,0
208.45,-37.46,4.31E-11,0
208.93,-47.21,3.42E-11,0
213.14,-48.15,3.35E-11,0
215.25,-54.12,2.97E-11,0
217.43,-56.59,2.84E-11,0
213.85,-72.38,2.22E-11,0
214.55,-75.67,2.12E-11,0
218.66,-75.39,2.12E-11,0
218.93,-79.50,2.01E-11,0
215.41,-90.08,1.77E-11,0
209.81,-99.44,1.60E-11,0
214.49,-97.62,1.63E-11,0
214.02,-100.95,1.57E-11,0
212.24,-106.35,1.49E-11,0
204.21,-113.75,1.39E-11,0
207.53,-115.42,1.37E-11,0
205.90,-120.43,1.31E-11,0
202.58,-124.51,1.27E-11,0
183.06,-139.78,1.13E-11,0
181.99,-140.81,1.12E-11,0
191.37,-136.97,1.15E-11,0
185.93,-141.45,1.11E-11,0
179.69,-145.18,1.08E-11,0
168.56,-149.61,1.04E-11,0
173.20,-150.60,1.04E-11,0
168.07,-153.28,1.02E-11,0
162.46,-154.74,1.00E-11,0
147.56,-158.48,9.80E-12,0
151.62,-158.54,9.78E-12,0
148.40,-159.75,9.69E-12,0
144.00,-161.01,9.60E-12,0
126.47,-160.79,9.60E-12,0
127.35,-160.52,9.60E-12,0
130.50,-161.81,9.51E-12,0
127.93,-161.89,9.50E-12,0
122.74,-161.22,9.52E-12,0
114.03,-158.91,9.65E-12,0
118.88,-160.61,9.53E-12,0
115.16,-160.55,9.52E-12,0
113.48,-160.37,9.52E-12,0
99.99,-156.64,9.73E-12,0
103.35,-157.73,9.65E-12,0
103.42,-158.60,9.58E-12,0
100.96,-157.83,9.61E-12,0
89.64,-153.15,9.89E-12,0
88.06,-152.75,9.91E-12,0
94.00,-155.17,9.74E-12,0
91.00,-153.43,9.83E-12,0
88.26,-152.58,9.88E-12,0
84.02,-149.53,1.01E-11,0
85.28,-151.33,9.93E-12,0
83.40,-150.58,9.96E-12,0
81.88,-149.74,1.00E-11,0
72.16,-144.57,1.03E-11,0
75.15,-145.69,1.03E-11,0
76.01,-146.63,1.02E-11,0
73.96,-145.58,1.02E-11,0
68.73,-141.55,1.05E-11,0
67.94,-140.46,1.06E-11,0
68.99,-142.37,1.04E-11,0
67.69,-141.43,1.05E-11,0
65.67,-140.16,1.06E-11,0
62.87,-136.82,1.08E-11,0
63.44,-138.61,1.06E-11,0
62.74,-137.79,1.07E-11,0
62.03,-137.32,1.07E-11,0
57.33,-132.68,1.11E-11,0
58.30,-133.63,1.10E-11,0
58.93,-134.53,1.09E-11,0
58.57,-134.52,1.09E-11,0
55.16,-130.71,1.12E-11,0
54.08,-130.07,1.12E-11,0
55.25,-132.15,1.10E-11,0
54.80,-131.44,1.11E-11,0
54.02,-130.92,1.11E-11,0
49.72,-126.37,1.15E-11,0
52.00,-129.23,1.12E-11,0
51.22,-128.56,1.13E-11,0
50.43,-127.96,1.13E-11,0
46.86,-123.81,1.17E-11,0
47.03,-124.15,1.16E-11,0
48.07,-125.86,1.14E-11,0
47.00,-124.97,1.15E-11,0
44.56,-121.40,1.18E-11,0
44.04,-120.75,1.19E-11,0
44.67,-122.79,1.17E-11,0
44.41,-122.28,1.17E-11,0
42.77,-120.92,1.18E-11,0
40.77,-117.13,1.22E-11,0
41.84,-119.67,1.19E-11,0
40.93,-119.02,1.20E-11,0
40.35,-118.38,1.20E-11,0
38.27,-114.63,1.24E-11,0
38.67,-115.05,1.23E-11,0
38.39,-116.27,1.22E-11,0
38.51,-116.07,1.22E-11,0
36.27,-112.02,1.26E-11,0
35.78,-111.43,1.26E-11,0
36.71,-114.16,1.23E-11,0
35.97,-113.52,1.24E-11,0
35.98,-113.20,1.24E-11,0
34.01,-109.24,1.28E-11,0
34.77,-111.74,1.25E-11,0
33.95,-110.90,1.26E-11,0
33.71,-110.51,1.26E-11,0
32.32,-106.80,1.31E-11,0
32.47,-107.01,1.30E-11,0
32.18,-108.53,1.28E-11,0
31.91,-107.98,1.29E-11,0
30.12,-103.46,1.34E-11,0
30.00,-103.17,1.34E-11,0
30.64,-105.86,1.31E-11,0
30.12,-105.09,1.32E-11,0
30.10,-104.68,1.32E-11,0
29.65,-101.37,1.36E-11,0
29.22,-103.24,1.33E-11,0
28.74,-102.48,1.34E-11,0
28.43,-101.72,1.35E-11,0
28.06,-98.38,1.39E-11,0
28.34,-98.27,1.39E-11,0
27.63,-99.66,1.37E-11,0
27.52,-98.99,1.38E-11,0
